,participant.code,decision_tuple,payoff_tuple,timeout_tuple,player.prolific_id,player.id_in_group,group.delta_value,opponent,group.id_in_subsession,session.code,group.game_payoff_betray,group.game_payoff_betrayed,group.game_payoff_both_defect,group.game_payoff_cooperate_cooperate
2166,7ngseg8z,"[[1, 1], [1, 1]]","[[15.0, 15.0], [15.0, 15.0]]","[[0, 0], [0, 0]]",56cb8858edf8da000b6df354,1,0.8,2x6cabej,18,c5xdmvwz,18.0,4.0,5.0,15.0
2167,7nifylq0,"[[0, 1]]","[[22.0, 3.0]]","[[0, 1]]",67f3d406f43330e85993b84c,2,0.6,bvh31iq3,83,rjcbwvo9,22.0,3.0,16.0,20.0
2168,7nj2vwkk,"[[1, 0], [1, 0], [1, 0], [0, 0], [1, 0], [1, 0]]","[[6.0, 21.0], [6.0, 21.0], [6.0, 21.0], [7.0, 7.0], [6.0, 21.0], [6.0, 21.0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [1, 0]]",665f6b56f064b435b440ae02,2,0.8,wdzs0agw,24,f4d843rc,21.0,6.0,7.0,17.0
2169,7nlz64pd,"[[1, 1], [0, 1], [1, 1], [0, 1], [1, 0], [0, 0], [1, 0], [1, 0]]","[[18.0, 18.0], [24.0, 3.0], [18.0, 18.0], [24.0, 3.0], [3.0, 24.0], [12.0, 12.0], [3.0, 24.0], [3.0, 24.0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [1, 0], [0, 0], [0, 0]]",65fb34c4df61f03ce0dd6dd9,2,0.75,ykkey1qa,32,03f1th4j,24.0,3.0,12.0,18.0
2170,7nmjrzne,"[[1, 0]]","[[6.0, 25.0]]","[[0, 0]]",67d01e2e21dee82b33b79eaf,1,0.7,wxr18k2u,14,vvr3krta,25.0,6.0,18.0,19.0
2171,7nqy1wp9,"[[1, 0], [0, 0]]","[[3.0, 22.0], [17.0, 17.0]]","[[0, 0], [0, 0]]",5f00c385e2e8aa0c8d908f2e,2,0.6,o7n279ph,87,80nr7xsv,22.0,3.0,17.0,19.0
2172,7obvjd3q,"[[0, 1], [1, 1], [1, 1], [0, 1], [0, 1], [0, 1], [0, 1]]","[[19.0, 2.0], [15.0, 15.0], [15.0, 15.0], [19.0, 2.0], [19.0, 2.0], [19.0, 2.0], [19.0, 2.0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]",656a719e8caf4969dfb28319,2,0.7,yo066gpb,99,c65i6qtb,19.0,2.0,4.0,15.0
2173,7oc2azta,"[[1, 0], [0, 1], [0, 1], [1, 0], [0, 1], [1, 0], [0, 1]]","[[3.0, 25.0], [25.0, 3.0], [25.0, 3.0], [3.0, 25.0], [25.0, 3.0], [3.0, 25.0], [25.0, 3.0]]","[[0, 0], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1], [1, 1]]",649eda88e98695fa1194e9e8,1,0.85,yvcescf1,53,80nr7xsv,25.0,3.0,17.0,18.0
2174,7odbuz1e,"[[1, 1], [1, 1], [0, 1], [1, 0], [0, 0], [0, 1], [1, 1], [1, 0], [0, 0], [1, 0], [0, 0], [0, 1], [1, 0], [1, 0], [1, 0], [1, 1]]","[[15.0, 15.0], [15.0, 15.0], [20.0, 7.0], [7.0, 20.0], [13.0, 13.0], [20.0, 7.0], [15.0, 15.0], [7.0, 20.0], [13.0, 13.0], [7.0, 20.0], [13.0, 13.0], [20.0, 7.0], [7.0, 20.0], [7.0, 20.0], [7.0, 20.0], [15.0, 15.0]]","[[1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0], [1, 0]]",683878b2622cde7b5670656c,1,0.9,ywy4otig,21,fa78f0ru,20.0,7.0,13.0,15.0
2175,7oexfikl,"[[1, 1], [1, 0], [1, 0], [0, 1]]","[[19.0, 19.0], [4.0, 23.0], [4.0, 23.0], [23.0, 4.0]]","[[0, 0], [0, 0], [0, 0], [0, 0]]",65cb7c1cdf8ff14e2355c5e6,2,0.7,utglhtkh,36,eev8674p,23.0,4.0,18.0,19.0
2176,7ofboj37,"[[1, 1], [1, 1], [0, 1], [0, 0], [1, 0], [0, 0], [0, 0], [0, 0], [1, 1], [0, 1], [0, 0], [0, 0], [1, 0]]","[[16.0, 16.0], [16.0, 16.0], [19.0, 3.0], [11.0, 11.0], [3.0, 19.0], [11.0, 11.0], [11.0, 11.0], [11.0, 11.0], [16.0, 16.0], [19.0, 3.0], [11.0, 11.0], [11.0, 11.0], [3.0, 19.0]]","[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]",66b21f6c058e8c922841fd31,2,0.8,472q0i0v,42,rjcbwvo9,19.0,3.0,11.0,16.0
2177,7ogltter,"[[1, 0]]","[[8.0, 24.0]]","[[0, 0]]",66895d0d90fa575c90e0cdeb,2,0.75,x7f9jzz1,12,q619xooh,24.0,8.0,11.0,23.0
2178,7ohnqff1,"[[1, 1]]","[[18.0, 18.0]]","[[1, 0]]",67db18c94909b8b0a6acd237,2,0.75,eqbvtysc,87,0y60vrio,23.0,1.0,9.0,18.0
2179,7parc1uh,"[[0, 0], [0, 1], [0, 0], [1, 1], [0, 1], [0, 0], [0, 1], [0, 0], [0, 0], [1, 1], [0, 0], [0, 1], [0, 0], [0, 0], [1, 0], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 0], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 1], [0, 0]]","[[15.0, 15.0], [21.0, 7.0], [15.0, 15.0], [16.0, 16.0], [21.0, 7.0], [15.0, 15.0], [21.0, 7.0], [15.0, 15.0], [15.0, 15.0], [16.0, 16.0], [15.0, 15.0], [21.0, 7.0], [15.0, 15.0], [15.0, 15.0], [7.0, 21.0], [21.0, 7.0], [15.0, 15.0], [21.0, 7.0], [15.0, 15.0], [21.0, 7.0], [15.0, 15.0], [21.0, 7.0], [21.0, 7.0], [21.0, 7.0], [21.0, 7.0], [21.0, 7.0], [21.0, 7.0], [21.0, 7.0], [15.0, 15.0]]","[[0, 0], [0, 1], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]",67c6e46f38335f4f29edff94,1,0.95,5d7hb53r,96,hiqqrpb3,21.0,7.0,15.0,16.0
2180,7pgiioy1,"[[1, 0], [0, 1]]","[[1.0, 24.0], [24.0, 1.0]]","[[1, 1], [1, 1]]",60a312b33a3666a9ec786414,1,0.75,2xmsgs0z,80,0y60vrio,24.0,1.0,11.0,16.0
2181,7pgpe6bp,"[[1, 0]]","[[11.0, 19.0]]","[[0, 1]]",665f0dd45b29f10127413153,1,0.5,ymfb81u9,67,c5xdmvwz,19.0,11.0,14.0,17.0
2182,7pi8m92r,"[[1, 1]]","[[14.0, 14.0]]","[[0, 0]]",684757ff77ae8a5893b9a59b,2,0.55,zo2p1ohj,94,rjcbwvo9,17.0,1.0,12.0,14.0
2183,7pjzs708,"[[1, 1], [0, 1], [0, 0]]","[[17.0, 17.0], [18.0, 5.0], [7.0, 7.0]]","[[0, 0], [0, 0], [0, 0]]",65bd88a029ae8413e1281c7b,2,0.75,ki6c0us1,30,rt1ziah7,18.0,5.0,7.0,17.0
2184,7plzpjmz,"[[0, 1], [0, 1], [1, 0]]","[[19.0, 4.0], [19.0, 4.0], [4.0, 19.0]]","[[0, 0], [0, 0], [0, 0]]",62b722b5892044fe80d8bdcb,1,0.75,m1eipje2,56,tuf4a7eb,19.0,4.0,13.0,18.0
2185,7pt0c9ee,"[[0, 1]]","[[21.0, 7.0]]","[[0, 1]]",6109bab29c25d05ba4c64323,1,0.5,r3682lc1,75,t1qg9dme,21.0,7.0,11.0,17.0
2186,7pvhanbc,"[[0, 1], [0, 1], [1, 1], [1, 1], [1, 0]]","[[22.0, 1.0], [22.0, 1.0], [21.0, 21.0], [21.0, 21.0], [1.0, 22.0]]","[[0, 0], [0, 1], [0, 1], [0, 1], [0, 1]]",65f266040b8fc4760c087fe2,2,0.85,j5ju32jn,15,mdy0yw3x,22.0,1.0,9.0,21.0
2187,7pxzpkar,"[[1, 1]]","[[16.0, 16.0]]","[[0, 0]]",5edc753bcee6c1953c31dacd,2,0.6,k1qidcgw,30,c65i6qtb,20.0,2.0,14.0,16.0
