,participant.code,round_number,group.delta_value,group.game_payoff_betray,group.game_payoff_betrayed,group.game_payoff_both_defect,group.game_payoff_cooperate_cooperate,group.id_in_subsession,group.match_duration,player.base_payment_cents,player.bonus_payment_cents,player.bonus_round,player.decision,player.id_in_group,player.payoff,player.prolific_id,player.timeout_occurred,player.total_payment_cents,subsession.round_number,participant.id_in_session,session.code,opponent
28189,lh97zgcz,2,0.9,11.0,2.0,8.0,9.0,23,2.0,100,11,2,Defect,1,11.0,65d62be7972c1d2144b7d8b6,0,111,2,44,tuf4a7eb,9iki9s1y
28190,lkwpxpzg,1,0.55,23.0,17.0,18.0,22.0,13,2.0,0,0,0,Cooperate,2,22.0,610b747563ed83265433ac09,0,0,1,24,tuf4a7eb,3eywfnp1
28191,lkwpxpzg,2,0.55,23.0,17.0,18.0,22.0,13,2.0,100,23,2,Defect,2,23.0,610b747563ed83265433ac09,0,123,2,24,tuf4a7eb,3eywfnp1
28192,lmij2iqy,1,0.75,24.0,1.0,9.0,17.0,36,6.0,0,0,0,Cooperate,2,17.0,612399c71548ff3b47e406e8,0,0,1,69,tuf4a7eb,y8nxbld1
28193,lmij2iqy,2,0.75,24.0,1.0,9.0,17.0,36,6.0,0,0,0,Cooperate,2,17.0,612399c71548ff3b47e406e8,0,0,2,69,tuf4a7eb,y8nxbld1
28194,lmij2iqy,3,0.75,24.0,1.0,9.0,17.0,36,6.0,0,0,0,Cooperate,2,17.0,612399c71548ff3b47e406e8,0,0,3,69,tuf4a7eb,y8nxbld1
28195,lmij2iqy,4,0.75,24.0,1.0,9.0,17.0,36,6.0,0,0,0,Cooperate,2,17.0,612399c71548ff3b47e406e8,0,0,4,69,tuf4a7eb,y8nxbld1
28196,lmij2iqy,5,0.75,24.0,1.0,9.0,17.0,36,6.0,0,0,0,Cooperate,2,1.0,612399c71548ff3b47e406e8,0,0,5,69,tuf4a7eb,y8nxbld1
28197,lmij2iqy,6,0.75,24.0,1.0,9.0,17.0,36,6.0,100,1,6,Cooperate,2,1.0,612399c71548ff3b47e406e8,0,101,6,69,tuf4a7eb,y8nxbld1
28198,lsv9gt58,1,0.8,20.0,1.0,3.0,17.0,22,1.0,100,1,1,Cooperate,1,1.0,65bc18357b513a613fd3d17e,0,101,1,42,tuf4a7eb,wjjxoxyb
28199,lxkmiyq2,1,0.65,20.0,14.0,16.0,18.0,81,2.0,0,0,0,Cooperate,2,14.0,67d2932dfc2f62db2ec30d12,0,0,1,160,tuf4a7eb,r6nnpp75
